question,golden_answer,url
"who is the announcer on americas got talent",'Nicholas Scott "Nick" Cannon',"https://en.wikipedia.org//w/index.php?title=Nick_Cannon&oldid=800876512"
"who won the match sri lanka or india","India","https://en.wikipedia.org//w/index.php?title=Sri_Lankan_cricket_team_in_India_in_2017%E2%80%9318&oldid=840491900"
"what was the prison called in the green mile","Cold Mountain Penitentiary","https://en.wikipedia.org//w/index.php?title=The_Green_Mile_(film)&oldid=808545402"
"what is the widest highway in north america","Highway 401","https://en.wikipedia.org//w/index.php?title=Ontario_Highway_401&oldid=799348667"
"when do gas stations stop selling alcohol in georgia","Hours of sale determined by local jurisdiction. No alcohol sales on Christmas Day.","https://en.wikipedia.org//w/index.php?title=List_of_alcohol_laws_of_the_United_States&oldid=814119740"
"who is the chairman of national human right commission","Justice H. L. Dattu","https://en.wikipedia.org//w/index.php?title=National_Human_Rights_Commission_of_India&oldid=813806594"
"what was the white thing in sausage party","Douche","https://en.wikipedia.org//w/index.php?title=Sausage_Party&oldid=804925244"
"who did holly matthews play in waterloo rd","Leigh-Ann Galloway","https://en.wikipedia.org//w/index.php?title=Holly_Matthews&oldid=801747402"
"which country tops the annual global democracy index compiled by the economist intelligence unit","Norway","https://en.wikipedia.org//w/index.php?title=Democracy_Index&oldid=836573396"
"what was the purpose of the protective tariffs on european goods after the war of 1812","protecting U.S. manufactured items from overseas competition","https://en.wikipedia.org//w/index.php?title=Tariff_of_1816&oldid=812781820"
"who did the first double backflip on a dirt bike","Travis Pastrana","https://en.wikipedia.org//w/index.php?title=Freestyle_Motocross&oldid=796932016"
"who won season 10 of dancing with the stars","Nicole Scherzinger","https://en.wikipedia.org//w/index.php?title=Dancing_with_the_Stars_(U.S._season_10)&oldid=831844704"
"when would the quantity of dna double when growing cells","S phase","https://en.wikipedia.org//w/index.php?title=Cell_growth&oldid=832882017"
"when did the roman catholic and eastern orthodox split","in 1054","https://en.wikipedia.org//w/index.php?title=East%E2%80%93West_Schism&oldid=849801215"
"when did big brother start on channel 5","18 August 2011","https://en.wikipedia.org//w/index.php?title=Big_Brother_(UK_TV_series)&oldid=801964911"
"when did the song colt 45 come out","September 6, 2001","https://en.wikipedia.org//w/index.php?title=Crazy_Rap&oldid=814403524"
"when did the battle of palmito ranch happen","May 12 and 13, 1865","https://en.wikipedia.org//w/index.php?title=Battle_of_Palmito_Ranch&oldid=844760504"
"what is the meaning of gravity by john mayer","making sure you still love yourself... making sure you still have your head on, making sure you still say no the way your mom would say no","https://en.wikipedia.org//w/index.php?title=Gravity_(John_Mayer_song)&oldid=819373047"
